kills_first_4_min,assists_first_4_min,camps_cleared_first_4_min,gold_earned_first_4_min,win,kills_details,summoner_spells,champion,first_item,level_at_first_blood,firstBlood,gold_per_minute,game_type
0,0,24,1340,False,[],"(4, 11)",Shyvana,Red,2,False,335.0,Normal Draft
1,0,19,1579,False,[183570],"(4, 11)",Khazix,Blue,3,False,394.75,Ranked Solo/Duo
0,2,15,1580,True,[],"(4, 11)",MasterYi,Red,3,False,395.0,Ranked Solo/Duo
1,0,20,1625,True,[168849],"(4, 11)",Kayn,Blue,3,False,406.25,Ranked Solo/Duo
0,1,20,1308,False,[],"(11, 4)",Viego,Blue,3,False,327.0,Ranked Solo/Duo
0,1,16,1321,False,[],"(4, 11)",Volibear,Blue,3,False,330.25,Ranked Solo/Duo
1,0,12,1361,True,[210481],"(4, 11)",Warwick,Green,3,False,340.25,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Shyvana,Red,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Khazix,Red,4,False,348.75,Ranked Solo/Duo
3,1,12,2297,True,"[129423, 194109, 230349]","(11, 4)",Khazix,Blue,1,False,574.25,Ranked Solo/Duo
0,0,20,1221,False,[],"(14, 11)",Shyvana,Red,1,False,305.25,Ranked Solo/Duo
0,0,23,1321,False,[],"(4, 11)",Aurora,Red,3,False,330.25,Normal Draft
0,0,20,1225,True,[],"(11, 4)",Nocturne,Red,3,False,306.25,Normal Draft
0,1,18,1300,True,[],"(6, 11)",Ivern,Blue,2,False,325.0,Ranked Solo/Duo
0,1,12,1179,False,[],"(11, 4)",MonkeyKing,Blue,2,False,294.75,Ranked Solo/Duo
2,1,16,2125,True,"[43624, 233347]","(11, 4)",Kayn,Red,1,True,531.25,Ranked Solo/Duo
0,0,0,920,False,[],"(6, 11)",MasterYi,No Item,1,False,230.0,Ranked Solo/Duo
0,0,24,1379,False,[],"(4, 11)",Zed,Blue,4,False,344.75,Ranked Solo/Duo
1,0,28,1845,True,[237881],"(4, 11)",Khazix,Blue,4,True,461.25,Ranked Solo/Duo
1,0,20,1550,True,[179241],"(11, 4)",Pantheon,Blue,3,False,387.5,Ranked Solo/Duo
0,1,20,1385,False,[],"(4, 11)",Brand,Red,3,False,346.25,Ranked Solo/Duo
